삼성전자	62900	61900	62400	62700	61400	61800	61400	60600	61000	61400	61000	60100	60600	62200	62600	60400	60300	59200	58900	59200	60400	59500	59700	60500	59300	59500	59500	58600	58000	59100	58100	57900	58100	56600	55300	55500	55400	57800	58200	59000	60700	60400	60500	60500	60800	61100	61000	60400	61500	61800	63400	63900	64600	63300	61000	61800	63500	63800	61600	61900	63100	63000	62800	62900	63200	62200	63700	62600	62700	62100	61100	62000	61300	60500	60600	60800	60500	61500	60700	60300	60100	59500	60000	59000	59800	59900	61300	60200	60300	61100	62300	63000	62100	62900	62700	63200	64000	63100	63600	63900	62300	65000	65700	65900	66000	66100	65100	65300	65600	65500	65300	65700	65200	63600	64100	64600	65500	65700	65400	65100	65900	65300
LG에너지솔루션	624000	604000	596000	600000	597000	598000	573000	571000	561000	568000	571000	562000	567000	587000	585000	584000	562000	559000	563000	531000	515000	502000	496500	498500	486000	485500	482000	487500	477000	471500	455500	457500	457000	436500	435500	446000	440500	443000	433500	444000	464000	473500	474500	478000	478000	480500	458000	458000	456000	469500	484000	517000	506000	510000	521000	522000	533000	535000	525000	542000	546000	550000	542000	522000	525000	527000	549000	533000	516000	520000	508000	507000	511000	508000	523000	535000	538000	547000	566000	562000	549000	551000	563000	548000	565000	576000	553000	544000	546000	573000	575000	569000	574000	577000	583000	588000	584000	586000	575000	588000	580000	580000	596000	610000	590000	599000	594000	591000	592000	582000	580000	572000	566000	551000	567000	587000	581000	591000	567000	564000	558000	563000
SK하이닉스	93500	90900	91600	91500	87700	88400	86300	85200	85200	86900	85100	83100	83700	85000	84700	81900	81000	81000	78900	78800	81500	81100	82300	81800	80200	78400	79000	78300	78000	79200	77800	77000	77000	76000	75000	75700	75600	81000	81400	83100	86000	86500	87300	86800	85700	85800	86000	85100	85500	87600	91400	92300	91500	90700	88500	91400	93400	92200	89100	90800	94900	94400	93500	90600	93400	91700	92900	92000	92500	91200	89100	92700	91000	90000	89400	88100	87300	89700	88900	86800	85600	83300	84300	81100	79100	79000	84000	83700	83600	86900	88500	87300	85500	88400	86900	88800	88600	87200	84500	84600	83800	89100	90700	91800	90300	88700	89300	88500	87600	88200	87700	89100	87200	85500	87400	88800	89500	90200	89800	88700	88700	87300
삼성바이오로직스	900000	901000	906000	880000	875000	882000	888000	888000	888000	896000	903000	885000	885000	887000	884000	870000	833000	838000	831000	827000	827000	815000	820000	837000	823000	835000	821000	820000	818000	824000	806000	822000	828000	830000	821000	827000	803000	794000	808000	808000	812000	799000	803000	811000	811000	807000	793000	793000	801000	800000	798000	795000	809000	803000	793000	804000	812000	811000	807000	813000	816000	814000	808000	807000	805000	794000	809000	799000	805000	800000	788000	789000	783000	770000	773000	772000	788000	801000	794000	777000	771000	776000	778000	772000	778000	790000	808000	812000	809000	810000	798000	797000	797000	797000	791000	782000	788000	778000	788000	788000	805000	796000	803000	812000	800000	815000	817000	812000	793000	788000	785000	785000	797000	786000	783000	778000	781000	767000	775000	797000	788000	788000
LG화학	737000	726000	710000	707000	700000	704000	682000	687000	701000	728000	721000	719000	715000	740000	722000	711000	696000	686000	679000	670000	627000	628000	623000	646000	643000	645000	633000	631000	620000	626000	610000	618000	628000	602000	600000	604000	601000	601000	581000	594000	624000	629000	634000	637000	644000	638000	619000	613000	621000	625000	652000	685000	685000	683000	690000	688000	676000	674000	658000	681000	672000	680000	673000	670000	676000	674000	717000	689000	667000	687000	666000	668000	669000	657000	680000	678000	703000	726000	740000	715000	710000	707000	718000	705000	721000	730000	702000	683000	677000	703000	712000	690000	698000	704000	705000	696000	712000	712000	722000	732000	716000	714000	750000	806000	775000	802000	802000	805000	825000	790000	800000	771000	767000	742000	727000	741000	740000	746000	726000	731000	726000	722000
삼성SDI	747000	759000	718000	722000	700000	701000	694000	680000	701000	720000	725000	727000	718000	729000	726000	718000	697000	706000	708000	693000	645000	650000	643000	667000	665000	667000	647000	645000	634000	637000	622000	624000	624000	603000	591000	602000	605000	603000	583000	586000	600000	612000	624000	629000	631000	624000	616000	613000	610000	619000	649000	672000	687000	687000	685000	720000	716000	714000	701000	711000	730000	738000	735000	723000	739000	726000	734000	703000	692000	692000	684000	681000	680000	678000	696000	710000	731000	781000	793000	754000	732000	737000	738000	725000	734000	739000	721000	715000	717000	732000	746000	719000	723000	722000	735000	721000	735000	745000	726000	778000	745000	738000	749000	767000	764000	769000	762000	755000	766000	758000	749000	734000	726000	706000	703000	706000	691000	700000	684000	684000	684000	680000
현대차	172000	176000	174500	172000	170000	169500	168000	165500	166000	167500	166000	167500	169000	169000	171500	169000	165500	164500	163000	162000	162500	163500	159500	163500	162000	162500	159000	157000	156000	158500	157000	158000	158000	154000	151000	157000	159000	160500	159000	159500	164000	163000	164000	166500	169000	166500	166000	164500	164000	164500	165700	174900	173900	170000	167000	170000	169900	172800	170700	170500	172700	172600	173400	171600	173700	172700	179300	179000	178200	178200	174200	176200	173900	173300	176300	178500	176100	177500	175100	174900	176300	175000	176000	171000	174300	174000	176600	175100	175800	180300	180500	177700	176100	177100	180400	181200	184500	183600	183800	186700	185100	185100	185900	192100	198200	198900	196100	195000	191400	193600	192500	190400	191900	201000	201500	202000	197500	201500	201000	199200	202500	205000
기아	68000	69900	68500	67800	66300	66000	65200	65200	66300	65900	65400	65400	67300	68600	68600	66500	65600	65100	65000	64700	65200	65100	62500	64100	64100	64100	62400	62400	62000	63500	62700	63700	64100	60900	59300	61500	62400	62000	61100	61500	64100	63900	64200	63900	65300	64600	65000	64700	64300	64300	65000	69300	68700	68600	66800	69500	69700	71200	70500	71300	71500	71700	72400	73200	73500	72600	76500	76400	76300	76600	74500	76400	75300	76000	75300	77800	78200	78500	77600	78900	78100	78000	78800	76300	79600	79100	80200	78000	77700	78900	78400	77600	76000	76900	79500	79400	81000	81200	80100	81300	81000	80100	81000	85000	86100	86600	85300	84500	82700	85400	84100	83300	84700	86600	85700	86600	84500	86900	86500	85900	87100	87600
NAVER	193500	188500	192000	189500	188000	185500	182500	180500	181500	188000	185000	180500	182500	187000	187500	185500	191500	185500	183500	185500	195000	193000	193000	193500	182500	180500	183500	180500	180000	184500	178000	178500	181000	180000	177500	179500	178500	182500	186000	185000	196500	193000	195000	194000	195000	200500	193500	195500	196000	196000	202000	204000	211500	207000	202500	205500	211500	223500	215500	219500	230500	230000	230000	223000	224000	215500	220500	215500	219000	215500	211500	213500	208000	208000	208500	206000	205500	214500	211000	202500	202000	199800	202500	196000	196400	197100	198000	201500	200500	207000	204000	202500	199300	199500	199100	201000	202000	198200	201000	199200	191900	193400	193000	199900	198000	196400	199000	197000	192800	191400	191600	190300	190000	186100	188100	188200	192300	193200	192600	196100	207000	211000
POSCO홀딩스	285500	294500	291500	288000	284000	289500	288500	292500	289500	289500	295500	294000	293500	299500	301000	295000	293500	286500	290000	286500	284000	283000	286500	286000	283500	279000	281500	281000	287500	289500	288500	292000	292000	291000	276500	272000	272000	274500	278500	286000	289000	291000	292000	291000	305000	311000	305500	300000	300500	308500	303000	314000	311500	303500	300500	303500	303500	303000	298000	298500	298000	306000	300000	304500	307000	325500	329000	334000	346000	346000	332000	331500	322000	319000	318000	337000	332000	329500	335000	329000	322500	320500	327000	316000	326500	323000	321000	319000	319000	330000	329000	322000	332000	339000	341000	339500	368000	392000	367000	373500	362500	369500	398500	397000	406500	391500	416000	423500	414500	412000	409500	396000	398500	379500	371500	387000	377000	382000	380000	379000	367500	372000
